"GID_0","NAME_0","GID_1","NAME_1","population","ITN_coverage_mean","ITN_coverage_pop_weighted","year"
"BEN","Benin","BEN.1_1","Alibori",1197983.46787262,0.422326287552894,0.416553424692414,2020
"BEN","Benin","BEN.2_1","Atakora",1035398.63365936,0.422204076701945,0.422693480149793,2020
"BEN","Benin","BEN.3_1","Atlantique",2058978.81917858,0.422293028361361,0.422200548606159,2020
"BEN","Benin","BEN.4_1","Borgou",1683825.45304012,0.421952942834169,0.417602670001841,2020
"BEN","Benin","BEN.5_1","Collines",860192.522418022,0.422506321621735,0.419710176248111,2020
"BEN","Benin","BEN.6_1","Donga",709088.468332291,0.421999105450745,0.422470291171392,2020
"BEN","Benin","BEN.7_1","Kouffo",918218.641283035,0.421481363410535,0.421939034616855,2020
"BEN","Benin","BEN.8_1","Littoral",417938.481445312,0.424893289804459,0.424592765222288,2020
"BEN","Benin","BEN.9_1","Mono",580919.921424866,0.422471281241726,0.418797861842419,2020
"BEN","Benin","BEN.10_1","Ouémé",1290955.405159,0.423539134910551,0.41926219485085,2020
"BEN","Benin","BEN.11_1","Plateau",793508.881062984,0.422294763385827,0.397178999860453,2020
"BEN","Benin","BEN.12_1","Zou",1071180.28944969,0.422369100184107,0.423077477026697,2020
"BFA","Burkina Faso","BFA.1_1","Boucle du Mouhoun",1917593.22289473,0.465857148406565,0.465411696690152,2020
"BFA","Burkina Faso","BFA.2_1","Cascades",1135196.98297286,0.465298610330305,0.464660891849927,2020
"BFA","Burkina Faso","BFA.7_1","Centre",4193918.02395058,0.466302241691772,0.46665565081766,2020
"BFA","Burkina Faso","BFA.3_1","Centre-Est",1695088.53459144,0.465801410204758,0.464290529512254,2020
"BFA","Burkina Faso","BFA.4_1","Centre-Nord",1741130.25023937,0.465964076731751,0.466170510707659,2020
"BFA","Burkina Faso","BFA.5_1","Centre-Ouest",1709250.87162685,0.466159173837656,0.466055993999423,2020
"BFA","Burkina Faso","BFA.6_1","Centre-Sud",884817.221496403,0.466113045702886,0.464954031357896,2020
"BFA","Burkina Faso","BFA.8_1","Est",2029901.50039211,0.464799758417549,0.464258007818057,2020
"BFA","Burkina Faso","BFA.9_1","Haut-Bassins",2482419.46409488,0.465973909308271,0.466553477865691,2020
"BFA","Burkina Faso","BFA.10_1","Nord",1589882.22960258,0.466059534223216,0.466196597174959,2020
"BFA","Burkina Faso","BFA.11_1","Plateau-Central",949344.602345943,0.465930811161004,0.466058386075967,2020
"BFA","Burkina Faso","BFA.12_1","Sahel",1484485.04733276,0.46555203263459,0.462971452514992,2020
"BFA","Burkina Faso","BFA.13_1","Sud-Ouest",916531.495243073,0.466261171208033,0.460578875765987,2020
